,number of children given up for overseas adoption,gdp(billion)
1960,638,3.96
1961,665,2.42
1962,254,2.81
1963,442,3.99
1964,462,3.46
1965,451,3.12
1966,494,3.93
1967,626,4.86
1968,949,6.12
1969,1190,7.68
1970,1932,9.01
1971,2725,9.9
1972,3490,10.86
1973,4688,13.88
1974,5302,19.54
1975,5077,21.78
1976,6597,29.9
1977,6159,38.45
1978,5917,51.97
1979,4148,66.95
1980,4144,65.4
1981,4628,72.93
1982,6434,78.36
1983,7263,87.76
1984,7924,97.51
1985,8837,101.3
1986,8680,116.84
1987,7947,147.95
1988,6463,199.59
1989,4191,246.93
1990,2962,283.37
